2023-05-17 19:57:24.155 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-05-17 19:57:24.155 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-17 19:57:24.155 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.73]
2023-05-17 19:57:24.274 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-17 19:57:24.274 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 984 ms
2023-05-17 19:57:24.918 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-05-17 19:57:24.934 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-05-17 19:57:24.949 [main] INFO  c.e.Demo20230327SpringbootActivemqApplication - Started Demo20230327SpringbootActivemqApplication in 2.122 seconds (JVM running for 3.211)
2023-05-17 19:57:24.981 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:24 CST 2023
2023-05-17 19:57:25.983 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:25 CST 2023
2023-05-17 19:57:26.959 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:26 CST 2023
2023-05-17 19:57:27.959 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:27 CST 2023
2023-05-17 19:57:28.968 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:28 CST 2023
2023-05-17 19:57:29.975 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:29 CST 2023
2023-05-17 19:57:30.979 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:30 CST 2023
2023-05-17 19:57:31.968 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:31 CST 2023
2023-05-17 19:57:32.963 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:32 CST 2023
2023-05-17 19:57:33.953 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:33 CST 2023
2023-05-17 19:57:34.964 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:34 CST 2023
2023-05-17 19:57:35.959 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:35 CST 2023
2023-05-17 19:57:36.983 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:36 CST 2023
2023-05-17 19:57:37.963 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:37 CST 2023
2023-05-17 19:57:38.954 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:38 CST 2023
2023-05-17 19:57:39.974 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:39 CST 2023
2023-05-17 19:57:40.961 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:40 CST 2023
2023-05-17 19:57:41.959 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:41 CST 2023
2023-05-17 19:57:42.956 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:42 CST 2023
2023-05-17 19:57:43.976 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:43 CST 2023
2023-05-17 19:57:44.956 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:44 CST 2023
2023-05-17 19:57:45.981 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:45 CST 2023
2023-05-17 19:57:46.965 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:46 CST 2023
2023-05-17 19:57:47.962 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:47 CST 2023
2023-05-17 19:57:48.957 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:48 CST 2023
2023-05-17 19:57:49.985 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:49 CST 2023
2023-05-17 19:57:50.954 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:50 CST 2023
2023-05-17 19:57:51.970 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:51 CST 2023
2023-05-17 19:57:52.965 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:52 CST 2023
2023-05-17 19:57:53.983 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:53 CST 2023
2023-05-17 19:57:54.957 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:54 CST 2023
2023-05-17 19:57:55.979 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:55 CST 2023
2023-05-17 19:57:56.978 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:56 CST 2023
2023-05-17 19:57:57.955 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:57 CST 2023
2023-05-17 19:57:58.973 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:58 CST 2023
2023-05-17 19:57:59.980 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:57:59 CST 2023
2023-05-17 19:58:00.980 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:58:00 CST 2023
2023-05-17 19:58:01.965 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:58:01 CST 2023
2023-05-17 19:58:02.961 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:58:02 CST 2023
2023-05-17 19:58:03.968 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:58:03 CST 2023
2023-05-17 19:58:04.966 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:58:04 CST 2023
2023-05-17 19:58:05.954 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:58:05 CST 2023
2023-05-17 19:58:06.967 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:58:06 CST 2023
2023-05-17 19:58:07.974 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:58:07 CST 2023
2023-05-17 19:58:08.956 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:58:08 CST 2023
2023-05-17 19:58:09.977 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:58:09 CST 2023
2023-05-17 19:58:10.968 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:58:10 CST 2023
2023-05-17 19:58:11.956 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:58:11 CST 2023
2023-05-17 19:58:12.965 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:58:12 CST 2023
2023-05-17 19:58:13.956 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:58:13 CST 2023
2023-05-17 19:58:14.967 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:58:14 CST 2023
2023-05-17 19:58:15.961 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:58:15 CST 2023
2023-05-17 19:58:16.986 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:58:16 CST 2023
2023-05-17 19:58:17.959 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:58:17 CST 2023
2023-05-17 19:58:18.964 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:58:18 CST 2023
2023-05-17 19:58:19.963 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:58:19 CST 2023
2023-05-17 19:58:20.964 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：Wed May 17 19:58:20 CST 2023
